"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 21:10:34 UTC 2026","Sat Sep 26 21:10:35 UTC 2026","347","tests.customers.api","test_update_customer","","","","test_update_customer_invalid_inputs[invalid-email-missing-local]","
Verify that invalid customers updates are rejected by the API.

This test ensures that:

• Invalid update payloads return the correct error response
• Error responses follow the expected schema
• The original customers record in the database remains unchanged

Test flow:
    1. Create a valid customers
    2. Attempt to update the customers with an invalid payload
    3. Validate the returned error structure
    4. Confirm the database record was not modified
"
"passed","Sat Sep 26 21:10:23 UTC 2026","Sat Sep 26 21:10:25 UTC 2026","1060","tests.customers.api","test_e2e_customer_lifecycle","","","","test_customer_full_lifecycle",""
"passed","Sat Sep 26 21:10:22 UTC 2026","Sat Sep 26 21:10:23 UTC 2026","700","tests.customers.api","test_customer_filters","","","","test_list_customers_created_within_time_range_with_db_check[5]","
Verify that a customers appears in results when filtering by a time
window that includes the creation timestamp.

Endpoint tested:
    GET /customers?created_after=&created_before=

Fixture responsibilities (`create_valid_customer`):
    - POST /customers
    - response validation (Pydantic)
    - automatic cleanup registration

Test flow:
    1. Create a customers
    2. Build a time window around the server creation timestamp
    3. Retrieve customers using time filters
    4. Ensure the created customers appears in the results
    5. Validate returned customers
    6. Verify API data matches database
"
"passed","Sat Sep 26 21:10:35 UTC 2026","Sat Sep 26 21:10:35 UTC 2026","580","tests.customers.api","test_update_customer","","","","test_update_customer_invalid_inputs[duplicate-email]","
Verify that invalid customers updates are rejected by the API.

This test ensures that:

• Invalid update payloads return the correct error response
• Error responses follow the expected schema
• The original customers record in the database remains unchanged

Test flow:
    1. Create a valid customers
    2. Attempt to update the customers with an invalid payload
    3. Validate the returned error structure
    4. Confirm the database record was not modified
"
"passed","Sat Sep 26 21:10:32 UTC 2026","Sat Sep 26 21:10:33 UTC 2026","462","tests.customers.api","test_soft_deleted_customer_handling","","","","test_soft_deleted_customers_are_excluded_by_custom_filter","
Verify that custom filtering removes soft-deleted customers.

WooCommerce API behavior:
    - Soft-deleted customers (user_status = 1) are still returned.

Framework behavior:
    - Custom filtering removes soft-deleted records.

Test flow:
    1. Create customers
    2. Soft delete in DB (user_status = 1)
    3. Retrieve customers from API
    4. Apply custom filtering utility
    5. Ensure soft-deleted customers is excluded
"
"skipped","Sat Sep 26 21:10:15 UTC 2026","Sat Sep 26 21:10:15 UTC 2026","0","tests.customers.api","test_create_customer","","","","test_bulk_create_customers_edge_cases[0]","
Edge case test for bulk creation.

Runs the bulk utility with extreme quantities (0 and 101)
to ensure the framework handles boundary conditions correctly.

Fixture responsibilities:
    - POST validation
    - response structure validation
    - automatic cleanup registration
"
"passed","Sat Sep 26 21:10:32 UTC 2026","Sat Sep 26 21:10:32 UTC 2026","110","tests.customers.api","test_get_customer","","","","test_get_customer_not_found","
Negative test for retrieving a non-existing customers.

Endpoint tested:
    GET /customers/{id}

Test flow:
    1. Request non-existing customers ID
    2. Validate API returns correct error response
    3. Validate error schema
"
"passed","Sat Sep 26 21:10:21 UTC 2026","Sat Sep 26 21:10:22 UTC 2026","730","tests.customers.api","test_customer_filters","","","","test_list_customers_created_within_time_range_with_db_check[1]","
Verify that a customers appears in results when filtering by a time
window that includes the creation timestamp.

Endpoint tested:
    GET /customers?created_after=&created_before=

Fixture responsibilities (`create_valid_customer`):
    - POST /customers
    - response validation (Pydantic)
    - automatic cleanup registration

Test flow:
    1. Create a customers
    2. Build a time window around the server creation timestamp
    3. Retrieve customers using time filters
    4. Ensure the created customers appears in the results
    5. Validate returned customers
    6. Verify API data matches database
"
"passed","Sat Sep 26 21:10:28 UTC 2026","Sat Sep 26 21:10:28 UTC 2026","2","tests.customers.api","test_get_all_customers","","","","test_get_all_customers_empty_list_with_mock","
Verify that GET /customers handles an empty dataset.

This test uses mocking to simulate an empty API response.

Test flow:
    1. Mock list_customers_paginated to return []
    2. Call the helper method
    3. Ensure the returned list is empty

Explanation:
- The test uses patch.object to replace the call_list_all_customers_paginated method only for this test run.
- The method is mocked to always return an empty list.
- Then the test asserts the returned list is empty, simulating no customers in DB.
- You get a fully isolated test that doesn't depend on DB state.
"
"passed","Sat Sep 26 21:10:16 UTC 2026","Sat Sep 26 21:10:16 UTC 2026","436","tests.customers.api","test_create_customer","","","","test_create_customer_with_varied_addresses[germany-billing-italy-shipping]","
Create customers with different billing and shipping addresses.

Test-data setup is handled by the ``create_valid_customer`` fixture.
The test provides only the scenario-specific billing and shipping
data required for this test case.

The fixture is responsible for:
    - CustomerBuilder
    - CustomerFactory
    - CustomerProvisioner
    - POST /customers
    - creation response validation
    - cleanup registration

CustomerFactory remains responsible for generating the customer's
generic identity data such as email, password, username, and
top-level first/last name.

Test flow:
    1. Create a customer with the parameterized addresses.
    2. Fetch the customer through the API.
    3. Fetch the customer from the database.
    4. Verify that API and database data match.

Faker is intentionally not used here. Random test-data generation
belongs to the CustomerFactory, while this test owns only the
business scenario variations.
"
